id,title,question,why_it_matters,where_it_stands,needs,tables,rows,time_window,effort,watch_out,probe
E50,Areas hit by disasters,"Do new health care businesses pop up right after, chasing relief money?",Would show opportunists rushing in after disasters,nothing there,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"26,262,428",DiD,Skip — already ruled out,the boom already existed before the disaster,
E51,Areas newly labeled as short on doctors,Does that label actually bring in more clinics?,Tests if a government designation does what it claims,found a little,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_HPSA_PRIMARY_CARE | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES,"98,196",DiD,"Medium — partial run, needs finishing","Unclear, could go either way",
E52,Counties with high jail populations,"Do wages, suicide, and overdose rates all get worse there?",Tests a broad 'incarceration damages a whole county' theory,found a little,,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,"3,879,944",one year wage,"Medium — partial run, needs finishing",mostly just wages showed a real effect,
E53,Poor and minority neighborhoods with water violations,Do they get penalized less often than other neighborhoods?,Would show unequal enforcement of environmental law,nothing there,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO | LIBRARY_MARTS.CORE.DIM_TRACT,"3,220,945",snapshot,"Medium — partial run, needs finishing",those areas are actually penalized less,
E54,Factories that violate air pollution rules,Do they pay workers less than clean factories?,Tests if pollution and low wages travel together,nothing there,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW,"3,721,474",one year,Skip — already ruled out,turned out to be about oil refineries specifically,
E55,Subsidized housing near polluting or noncompliant sites,Is poor housing placed disproportionately near hazards?,Would show poor communities steered toward danger,nothing there,,LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,"18,603,892",snapshot,Skip — already ruled out,no real pattern once population size is accounted for,
E56,Doctors getting Medicare bonuses,Do bonus and non-bonus doctors get similar industry money?,A stricter version of #19,nothing there,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"15,888,964",PY2024,"Medium — partial run, needs finishing",No difference found,
E57,Doctors who bill Medicare the most,Are they also the ones industry pays the most?,Volume and money moving together is a red flag,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"16,681,786",DY2024,Quick — re-run and check the number,"a real, meaningful overlap",reports/tier1_deep_dive_2026-09-05/E57_volume_and_money
E58,U.S. states,Do states with more malpractice payouts also get more industry money?,Tests a state-level backdrop theory,nothing there,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_NPDB | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023,"17,115,888",2022-24,Skip — already ruled out,the comparison method itself was flawed,
E59,The highest-paid hospitals,Do they have the worst quality ratings?,Would show money not buying better care,nothing there,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL,"8,476",one year,"Medium — partial run, needs finishing",No relationship found,
E60,Dialysis patients in counties with bad drinking water,Do they die at a higher rate?,Would connect water quality to dialysis patient survival,found a little,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,"27,889,193",yearly file landed,"Medium — partial run, needs finishing","Real but modest signal, worth a deeper look",
E61,Hospitals that violate hazardous waste rules,Do they also have worse finances?,Tests if cutting corners on waste tracks with cutting corners on money,found a little,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_RCRA_VIOLATIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS,"714,217",one year,"Medium — partial run, needs finishing","Modest signal, needs more care in how it's measured",
E62,Nursing homes that claim to have fire sprinklers,Are they still getting cited for missing sprinkler systems?,Would show a safety checkbox that lies,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,"433,192",snapshot,Quick — re-run and check the number,Confirmed as a real data quality problem,reports/tier1_deep_dive_2026-09-05/E62_sprinkler_flag_lies
E63,Nursing homes that lose administrators quickly,Does patient harm go up when leadership keeps turning over?,Tests if management chaos hurts patients,found a little,,LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,"433,192",2024-25,"Medium — partial run, needs finishing","Modest signal, promising",
E64,Government grant recipients flagged for weak financial controls,Does the money keep flowing to them anyway?,Would show oversight failing in real time,found a little,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,"20,314,517",capped table,"Medium — partial run, needs finishing","Modest signal, but the data only covers a few months",
E65,Nonprofits that lost their tax-exempt status,Were they still getting paid after losing it?,Would be a rules violation,nothing there,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_REVOCATION | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,"21,090,245",dated,"Medium — partial run, needs finishing",false alarm,
E66,Companies banned from federal work,Are they still getting health grants?,A grant-side version of #15,nothing there,,LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,"20,071,207",capped,"Medium — partial run, needs finishing",None found so far,
E67,Counties with high jail populations,Do they also have fewer doctors available?,Tests if incarceration and doctor shortages travel together,nothing there,,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES,"9,735,190",snapshot,Skip — already ruled out,no relationship once population size is controlled for,
E68,Wealthy nonprofit hospitals,Do they give very little free care to the poor despite huge profits?,Would expose 'nonprofit' hospitals not acting like one,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS,"6,103",FY2023,Quick — re-run and check the number,"37 hospitals over $50 million profit, under 1% charity care",reports/tier1_deep_dive_2026-09-05/E68_nonprofit_charity_care
E69,Community health centers and government grant money,How much grant money reaches each patient?,Basic transparency question on where the money goes,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_TABLE3A_PATIENTS | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,"19,905,591",6 of 24 months,"Medium — partial run, needs finishing",Only a few months of money data currently available,
E70,Nursing homes with veteran contracts,Are the worst-rated homes still getting VA contracts?,Would show the VA sending veterans to bad facilities,nothing there,,LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,"93,168,137",snapshot,"Medium — partial run, needs finishing",No pattern found,
E71,Counties and drug company payments to local doctors,Does more payment per person mean more opioid prescribing?,Tests the money-to-opioids link at a bigger scale,found a little,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,"16,801,930",one year,"Medium — partial run, needs finishing","Weak signal, not conclusive",
E72,Subsidized housing in disaster-prone counties,Is it sitting empty more than in safer counties?,Would show risk concentrated on poor renters,nothing there,,LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"26,286,521",snapshot,"Medium — partial run, needs finishing","No pattern, and much of it turned out to be Puerto Rico",
E73,Banned contractors and health care workers,Do banned contractors turn out to also be doctors?,Would be a crossover fraud pattern,missing a piece,,LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES,"9,775,011",snapshot,Skip — already ruled out,"Dead end, basically no overlap",
E74,Home health agencies that change owners,Is there a record of who the new owner is?,"Same shell-game question as #30, for home health",missing a piece,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,"56,821",n/a,Skip — already ruled out,the ownership records don't exist for this type of agency,
E75,Nursing home chains and COVID relief funds,Did the worst chains get big pandemic bailout money?,Would show bad actors profiting from a national emergency,missing a piece,,LIBRARY_RAW.LANDING.FED_HHS_TAGGS | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,"14,758",n/a,Skip — already ruled out,the relief fund records aren't usable this way,
