id,where_it_stands,question,tables,in_catalog,not_in_catalog,measured_joins_between_tables,join_gap,key_columns
104,not started,Do the same addresses show up behind multiple fatal crashes?,LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_EVENTS | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY,3,,TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.EV_ID = TRANSPORT__FED_NTSB_AVIATION_EVENTS.EV_ID [30968] ; TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.NTSB_NO = TRANSPORT__FED_NTSB_AVIATION_EVENTS.NTSB_NO [30438] ; TRANSPORT__FED_NTSB_AVIATION_EVENTS.EV_ID = TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.EV_ID [30968] ; TRANSPORT__FED_NTSB_AVIATION_EVENTS.NTSB_NO = TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.NTSB_NO [30438],N,TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY.N_NUMBER | TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY.ZIP_CODE | TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.AIRCRAFT_KEY | TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.EV_ID | TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.NTSB_NO | TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.OPER_NAME | TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.OWNER_ZIP | TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT.REGIS_NO | TRANSPORT__FED_NTSB_AVIATION_EVENTS.APT_NAME | TRANSPORT__FED_NTSB_AVIATION_EVENTS.EV_ID | TRANSPORT__FED_NTSB_AVIATION_EVENTS.EV_SITE_ZIPCODE | TRANSPORT__FED_NTSB_AVIATION_EVENTS.NTSB_NO
105,not started,Do the same crossings get hit by trains again and again?,LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FRA_CROSSING_INCIDENTS | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FRA_CASUALTIES,2,,TRANSPORT__FED_FRA_CASUALTIES.INCIDENT_NUMBER = TRANSPORT__FED_FRA_CROSSING_INCIDENTS.INCIDENT_NUMBER [98233] ; TRANSPORT__FED_FRA_CROSSING_INCIDENTS.INCIDENT_NUMBER = TRANSPORT__FED_FRA_CASUALTIES.INCIDENT_NUMBER [98233],N,TRANSPORT__FED_FRA_CASUALTIES.INCIDENT_KEY | TRANSPORT__FED_FRA_CASUALTIES.INCIDENT_NUMBER | TRANSPORT__FED_FRA_CASUALTIES.REPORTING_PARENT_RAILROAD_CODE | TRANSPORT__FED_FRA_CROSSING_INCIDENTS.GRADE_CROSSING_ID | TRANSPORT__FED_FRA_CROSSING_INCIDENTS.INCIDENT_NUMBER | TRANSPORT__FED_FRA_CROSSING_INCIDENTS.REPORT_KEY
106,not started,Are those same counties still struggling with opioids today?,LIBRARY_RAW.LANDING.FED_DEA_ARCOS_FULL | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,2,FED_DEA_ARCOS_FULL,,Y,HEALTH__FED_CDC_DRUG_POISONING_COUNTY.FIPS | HEALTH__FED_CMS_PART_D_PRESCRIBERS.NPI | HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_LAST_ORG_NAME | HEALTH__FED_CMS_PART_D_PRESCRIBERS.PRSCRBR_ZIP5
107,not started,Did the biggest distributors in a state match who actually got sued?,LIBRARY_RAW.LANDING.FED_DEA_ARCOS_FULL | LIBRARY_MARTS.LEGAL_ENFORCEMENT.LEGAL_ENFORCEMENT__FED_NAAG_MULTISTATE_SETTLEMENTS,1,FED_DEA_ARCOS_FULL,,N,
108,not started,Were they still being paid after their device got recalled?,LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_ENFORCEMENT | LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_510K | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,3,,,Y,HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE | HEALTH__FED_FDA_DEVICE_510K.K_NUMBER | HEALTH__FED_FDA_DEVICE_ENFORCEMENT.EVENT_ID
109,not started,Do they have more reported deaths than devices reviewed the normal way?,LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_MAUDE | LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_510K,2,,,Y,HEALTH__FED_FDA_DEVICE_510K.K_NUMBER | HEALTH__FED_FDA_MAUDE.CATALOG_NUMBER
110,not started,Do the same doctors' prescribing costs jump right along with it?,LIBRARY_RAW.LANDING.FED_CMS_NADAC | LIBRARY_MARTS.HEALTH.HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP | LIBRARY_RAW.LANDING.FED_CMS_PARTD_PRESCRIBER_DRUG,1,FED_CMS_NADAC | FED_CMS_PARTD_PRESCRIBER_DRUG,,N,
111,not started,Did their nearest full-service hospital shut down?,LIBRARY_MARTS.HEALTH.HEALTH__FED_IHS_FACILITIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_IHS_SCB_FACILITY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,3,,,Y,HEALTH__FED_CMS_POS_OTHER.CCN | HEALTH__FED_CMS_POS_OTHER.CROSS_REF_PROVIDER_NUMBER | HEALTH__FED_CMS_POS_OTHER.FAC_NAME | HEALTH__FED_CMS_POS_OTHER.FIPS_CNTY_CD | HEALTH__FED_CMS_POS_OTHER.FIPS_STATE_CD | HEALTH__FED_CMS_POS_OTHER.ZIP_CD
112,not started,Do the ones with more retracted (fake or flawed) studies keep getting funded?,LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_NIH_REPORTER | LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS | LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_RETRACTION_WATCH,3,,,Y,SCIENCE_RESEARCH__FED_NIH_REPORTER.CORE_PROJECT_NUM | SCIENCE_RESEARCH__FED_NIH_REPORTER.ORG_DUNS | SCIENCE_RESEARCH__FED_NIH_REPORTER.ORG_UEI | SCIENCE_RESEARCH__FED_RETRACTION_WATCH.ORIGINAL_PAPER_PUBMED_ID | SCIENCE_RESEARCH__FED_RETRACTION_WATCH.RETRACTION_PUBMED_ID | SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS.AGENCY_TRACKING_NUMBER | SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS.CONTRACT | SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS.DUNS | SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS.PI_NAME | SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS.UEI | SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS.ZIP
113,not started,Are companies still paying doctors to promote them?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_JPML_PENDING_MDLS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,2,,,Y,HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE
114,not started,Are they going uninspected for years at a time?,LIBRARY_MARTS.LABOR.LABOR__FED_OSHA_ITA_300A_SUMMARY_2024 | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_DOL_OSHA_INSPECTIONS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW,3,,,Y,ECONOMICS__FED_BLS_QCEW.AREA_FIPS | ECONOMICS__FED_BLS_QCEW.STATE_FIPS | LABOR__FED_OSHA_ITA_300A_SUMMARY_2024.EIN | LABOR__FED_OSHA_ITA_300A_SUMMARY_2024.ESTABLISHMENT_ID | LABOR__FED_OSHA_ITA_300A_SUMMARY_2024.ESTABLISHMENT_NAME | LABOR__FED_OSHA_ITA_300A_SUMMARY_2024.ZIP_CODE
115,not started,Do accidents happen at their mines afterward?,LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_VIOLATIONS | LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_ACCIDENTS,2,,LABOR__FED_MSHA_ACCIDENTS.CONTROLLER_ID = LABOR__FED_MSHA_VIOLATIONS.CONTROLLER_ID [6565] ; LABOR__FED_MSHA_ACCIDENTS.MINE_ID = LABOR__FED_MSHA_VIOLATIONS.MINE_ID [13338] ; LABOR__FED_MSHA_VIOLATIONS.CONTROLLER_ID = LABOR__FED_MSHA_ACCIDENTS.CONTROLLER_ID [6565] ; LABOR__FED_MSHA_VIOLATIONS.MINE_ID = LABOR__FED_MSHA_ACCIDENTS.MINE_ID [13338],N,LABOR__FED_MSHA_ACCIDENTS.CONTROLLER_ID | LABOR__FED_MSHA_ACCIDENTS.FIPS_STATE_CD | LABOR__FED_MSHA_ACCIDENTS.MINE_ID | LABOR__FED_MSHA_VIOLATIONS.CONTROLLER_ID | LABOR__FED_MSHA_VIOLATIONS.MINE_ID
116,not started,Do they pay the legal minimum wage and also rack up serious safety violations?,LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_DOL_OFLC | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_DOL_OSHA_INSPECTIONS | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS,3,,,Y,PROCUREMENT__FED_SAM_EXCLUSIONS.ENTITY_NAME | PROCUREMENT__FED_SAM_EXCLUSIONS.EXCLUDING_AGENCY | PROCUREMENT__FED_SAM_EXCLUSIONS.NPI | PROCUREMENT__FED_SAM_EXCLUSIONS.SAM_NUMBER | PROCUREMENT__FED_SAM_EXCLUSIONS.UEI | PROCUREMENT__FED_SAM_EXCLUSIONS.ZIP
117,not started,Did the same ones get hit with health and safety fines?,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SBA_PPP | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,3,,,Y,HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.ZIP_CODE | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.ASSOCIATE_ID | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.CCN | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NPI | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NURSING_HOME_PROVIDER_NAME | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.ZIP_CODE
118,part done,Do the ones with the worst loan losses also have enforcement actions against them?,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SBA_LOANS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,3,,,Y,FINANCE__FED_FDIC_BANK_DATA.CERT | FINANCE__FED_FDIC_BANK_DATA.DOCKET | FINANCE__FED_FDIC_BANK_DATA.FIPS | FINANCE__FED_FDIC_BANK_DATA.NAME | FINANCE__FED_FDIC_BANK_DATA.ZIP | JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS.DOCKET_NUMBER
119,not started,"How much do they get paid per day, per detained person?",LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETENTION_STINTS | LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,2,FED_USASPENDING_CONTRACTS_FULL_R2,,Y,IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES.DETENTION_FACILITY_CODE | IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES.DETENTION_FACILITY_NAME | IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES.ZIP | IMMIGRATION__FED_ICE_DETENTION_STINTS.DETENTION_FACILITY_CODE | IMMIGRATION__FED_ICE_DETENTION_STINTS.FINAL_ORDER_YES_NO
120,not started,Do they also have high jail populations generally?,LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETAINERS | LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS,2,,,Y,IMMIGRATION__FED_ICE_DETAINERS.DETENTION_FACILITY_CODE | IMMIGRATION__FED_ICE_DETAINERS.FINAL_ORDER_YES_NO | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_FIPS | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_NAME | JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_FIPS
121,not started,Are any of them U.S. doctors or political donors?,LIBRARY_MARTS.CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,3,,,Y,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS.NODE_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.CMTE_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.OTHER_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.SUB_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE | HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE
122,not started,Are any of them under U.S. or international sanctions?,LIBRARY_MARTS.CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC | LIBRARY_MARTS.JUSTICE.JUSTICE__INTL_OPENSANCTIONS_DEFAULT | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN,3,,,Y,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC.COMPANY_NUMBER | CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC.REGISTRATION_NUMBER | JUSTICE__FED_OFAC_SDN.ENT_NUM | JUSTICE__FED_OFAC_SDN.IMO_NUMBER
123,not started,Who's the real parent company hiding behind them?,LIBRARY_MARTS.ECONOMICS.ECONOMICS__INTL_GLEIF_REPEX | LIBRARY_MARTS.ECONOMICS.ECONOMICS__INTL_GLEIF | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,4,,ECONOMICS__INTL_GLEIF.LEI = ECONOMICS__INTL_GLEIF_REPEX.LEI [3142422] ; ECONOMICS__INTL_GLEIF_REPEX.LEI = ECONOMICS__INTL_GLEIF.LEI [3142422],N,ECONOMICS__INTL_GLEIF.LEI | ECONOMICS__INTL_GLEIF_REPEX.LEI | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.EPA_REGISTRY_ID | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.MATCHED_LEI | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.PARENT_CIK | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.PARENT_UEI | ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK.ULTIMATE_PARENT_LEI | HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.ARID_2017 | HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.LEI_2018
124,found something,How much do they pay their top executives?,LIBRARY_MARTS.HEALTH.HEALTH__HOSPITAL_OFFICER_PAY | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_BMF | LIBRARY_RAW.LANDING.FED_IRS_990_EFILE_INDEX,2,FED_IRS_990_EFILE_INDEX,,Y,ECONOMICS__FED_IRS_BMF.EIN | ECONOMICS__FED_IRS_BMF.SPINE_ENTITY_ID | ECONOMICS__FED_IRS_BMF.ZIP | HEALTH__HOSPITAL_OFFICER_PAY.EIN | HEALTH__HOSPITAL_OFFICER_PAY.OBJECT_ID
125,not started,Are they still operating and filing paperwork as if nothing happened?,LIBRARY_MARTS.POLITICS.POLITICS__IRS527_8871_ORGS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_AUTO_REVOCATIONS | LIBRARY_MARTS.POLITICS.POLITICS__IRS527_8872_REPORTS,3,,POLITICS__IRS527_8871_ORGS.FORM_ID_NUMBER = POLITICS__IRS527_8872_REPORTS.FORM_ID_NUMBER [243] ; POLITICS__IRS527_8872_REPORTS.FORM_ID_NUMBER = POLITICS__IRS527_8871_ORGS.FORM_ID_NUMBER [243],N,ECONOMICS__FED_IRS_AUTO_REVOCATIONS.EIN | ECONOMICS__FED_IRS_AUTO_REVOCATIONS.LEGAL_NAME | ECONOMICS__FED_IRS_AUTO_REVOCATIONS.ZIP_CODE | POLITICS__IRS527_8871_ORGS.EIN | POLITICS__IRS527_8871_ORGS.FORM_ID_NUMBER | POLITICS__IRS527_8871_ORGS.MAILING_ZIP | POLITICS__IRS527_8871_ORGS.ORGANIZATION_NAME | POLITICS__IRS527_8872_REPORTS.CONTACT_NAME | POLITICS__IRS527_8872_REPORTS.CONTACT_ZIP | POLITICS__IRS527_8872_REPORTS.FORM_ID_NUMBER
126,not started,Do consumer complaints about them pile up before regulators catch on?,LIBRARY_MARTS.CONSUMER_PROTECTION.CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF,2,,,Y,HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.ARID_2017 | HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF.LEI_2018
127,not started,Are banks pulling branches out of those neighborhoods over time?,LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY,2,,,Y,HOUSING__FED_MAPPING_INEQUALITY.GEOMETRY
128,part done,Were failed banks still active members right up until they collapsed?,LIBRARY_MARTS.FINANCE.FINANCE__FED_FHFA_FHLB_MEMBERSHIP | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS,2,,,Y,FINANCE__FED_FHFA_FHLB_MEMBERSHIP.CERT | FINANCE__FED_FHFA_FHLB_MEMBERSHIP.FED_ID | FINANCE__FED_FHFA_FHLB_MEMBERSHIP.MEMBER_NAME | FINANCE__FED_FHFA_FHLB_MEMBERSHIP.NCUA_ID | FINANCE__FED_FHFA_FHLB_MEMBERSHIP.ZIP
129,not started,Do complaints pile up for years before an official recall happens?,LIBRARY_MARTS.CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS | LIBRARY_MARTS.CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_RECALLS,2,,,Y,
130,not started,Are their affordability contracts expiring in fast-gentrifying areas?,LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_MF_SECTION8_CONTRACTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FHFA_HPI,2,,,Y,
131,not started,Do they charge higher rates in historically redlined neighborhoods?,LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC,3,,,Y,HOUSING__FED_CFPB_HMDA_HISTORIC.RESPONDENT_ID | HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT.ORIGINATING_MORTGAGEE_NUMBER | HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT.SPONSOR_NUMBER | HOUSING__FED_MAPPING_INEQUALITY.GEOMETRY
132,not started,Do bankruptcy filings spike in the year after?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_BANKRUPTCY | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,2,,,Y,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS | JUSTICE__FED_FJC_IDB_BANKRUPTCY.DOCKET
133,not started,Do the most-sued chains also get the most fines?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,3,,,Y,HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.ZIP_CODE | HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY | JUSTICE__FED_FJC_IDB_CIVIL.DOCKET | JUSTICE__FED_FJC_IDB_CIVIL.TRANSFER_DOCKET
134,not started,Are they still allowed to work in health care because they were never formally banned?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CRIMINAL | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE,2,,,Y,HEALTH__FED_HHS_OIG_LEIE.NPI | HEALTH__FED_HHS_OIG_LEIE.ZIP | JUSTICE__FED_FJC_IDB_CRIMINAL.DOCKET | JUSTICE__FED_FJC_IDB_CRIMINAL.TRANSFER_DOCKET
135,not started,Does patient care quality drop afterward?,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_RANSOMWARELIVE_VICTIMS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,3,,,Y,HEALTH__FED_CMS_HOSPITAL_GENERAL.CCN | HEALTH__FED_CMS_HOSPITAL_GENERAL.FACILITY_NAME | HEALTH__FED_CMS_HOSPITAL_GENERAL.TELEPHONE_NUMBER | HEALTH__FED_CMS_HOSPITAL_GENERAL.ZIP_CODE | HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY
136,not started,Do the ones with the most known security flaws still win contracts?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_CISA_KEV | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,1,FED_USASPENDING_CONTRACTS_FULL_R2,,N,
137,not started,Are any of them showing up at U.S. ports anyway?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN | LIBRARY_RAW.LANDING.FED_NOAA_AIS,1,FED_NOAA_AIS,,N,JUSTICE__FED_OFAC_SDN.ENT_NUM | JUSTICE__FED_OFAC_SDN.IMO_NUMBER
138,not started,Do the ones involved in the most killings still get the most federal grant money?,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_MAPPING_POLICE_VIOLENCE | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,1,FED_USASPENDING_ASSISTANCE_FULL,,N,JUSTICE__XC_MAPPING_POLICE_VIOLENCE.VICTIM_S_NAME | JUSTICE__XC_MAPPING_POLICE_VIOLENCE.ZIPCODE
139,part done,Are more dealers in an area linked to more gun deaths?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_ATF_FFL | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FBI_NICS_CHECKS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,3,,,Y,HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.GEOID | HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY.NAME
140,not started,Which investment funds and political donors are behind them?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_EGRID_PLANT_2022 | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA860_4_OWNER | LIBRARY_RAW.LANDING.FED_SEC_13F_POSITIONS | LIBRARY_MARTS.POLITICS.POLITICS__FED_FEC_PAC_SUMMARY,3,FED_SEC_13F_POSITIONS,,Y,ENERGY__FED_EIA860_4_OWNER.GENERATOR_ID | ENERGY__FED_EIA860_4_OWNER.OWNERSHIP_ID | ENERGY__FED_EIA860_4_OWNER.OWNER_ZIP | ENERGY__FED_EIA860_4_OWNER.PLANT_CODE | ENERGY__FED_EIA860_4_OWNER.PLANT_NAME | ENERGY__FED_EIA860_4_OWNER.UTILITY_ID | ENVIRONMENT__FED_EPA_EGRID_PLANT_2022.DOE_EIA_ORIS_PLANT_OR_FACILITY_CODE | ENVIRONMENT__FED_EPA_EGRID_PLANT_2022.UTILITY_ID | POLITICS__FED_FEC_PAC_SUMMARY.CMTE_ID
141,not started,Do the ones with the worst storm outages also charge the highest rates?,LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_RELIABILITY | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_SERVICE_TERRITORY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_SALES_ULT_CUST,4,,,Y,ENERGY__FED_EIA861_RELIABILITY.UTILITY_NUMBER | ENERGY__FED_EIA861_SALES_ULT_CUST.UTILITY_NUMBER | ENERGY__FED_EIA861_SERVICE_TERRITORY.UTILITY_NUMBER | ENVIRONMENT__FED_NOAA_STORM_EVENTS.EVENT_ID | ENVIRONMENT__FED_NOAA_STORM_EVENTS.STATE_FIPS
142,not started,Do some have pollution spikes that never trigger a violation?,LIBRARY_RAW.LANDING.FED_EPA_CAMPD_EMISSIONS_DAILY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES,2,FED_EPA_CAMPD_EMISSIONS_DAILY,,Y,ENVIRONMENT__FED_EPA_AQS_SITES.LOCAL_SITE_NAME | ENVIRONMENT__FED_EPA_AQS_SITES.ZIP_CODE
