id,subject,tier,title,question,why_it_matters,tables,joins_on,visual,status,matches,notes,needs,watch_out,probe,rows,time_window,effort
v2-087,POLITICS,crawl,Radio licenses by service type,"Where are FCC licenses densest, and what services dominate?",1.7M licenses on a map.,POLITICS__FED_FCC_LICENSING|GOVERNMENT_POWER__FCC_LICENSES_BY_STATE_SERVICE_AGG,"stack, same shape",map,not started,,Rollup already exists in PUBLIC.,,,,,,
v2-088,POLITICS,crawl,How counties run elections,Which jurisdictions rely most on mail ballots or fewest polling places?,"One row per county, dozens of questions.",POLITICS__FED_EAC_EAVS,single table,map,not started,,Column names are survey codes. Needs a decoder.,,,,,,
v2-089,POLITICS,crawl,Judges' age at appointment by president,Are presidents appointing younger judges over time?,A generational strategy in one chart.,POLITICS__FED_FJC_JUDGES|POLITICS__FJC_APPOINTMENT,"stack, same shape",timeline,not started,,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog.",,,,,,
v2-090,POLITICS,crawl,Confirmation vote margins shrinking,How did Senate confirmation margins for judges change by decade?,From unanimous to party-line.,POLITICS__FED_FJC_SERVICE,single table,timeline,not started,,,,,,,,
v2-091,POLITICS,crawl,Circuit courts by ideology,"Which circuits lean furthest left or right, and did that change?","One dot per judge, one row per circuit.",POLITICS__JUDGE_IDEOLOGY_COA,single table,other,not started,,,,,,,,
v2-092,POLITICS,crawl,Supreme Court justices by term,How did each justice's ideology score move term by term?,"The famous chart, from the source.",POLITICS__JUDGE_IDEOLOGY_SCOTUS,single table,timeline,not started,,,,,,,,
v2-093,POLITICS,crawl,Cannabis legalization map by year,When did each state approve medical and recreational cannabis?,An animated map of policy spreading.,POLITICS__ST_CANNABIS_POLICY_BUNDLES,single table,map,not started,,Dozens of rule columns for follow-ups.,,,,,,
v2-094,POLITICS,crawl,"NYC donors, 2001 versus 2025",How did the size and geography of NYC donations change across five cycles?,"Five cycles, same city.",POLITICS__ST_NYC_CFB_CAMPAIGN_2001_CONTRIBUTION|POLITICS__ST_NYC_CFB_CAMPAIGN_2009_CONTRIBUTION|POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION|POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS|POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,"stack, same shape",map,not started,,"Same shape, stack them.",,,,,,
v2-095,POLITICS,crawl,Lobbyists who used to work in government,What share of federal lobbyists held a covered government job first?,"Revolving door, counted.",POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,single table,ranking,not started,,,,,,,,
v2-096,POLITICS,crawl,Who pays to lobby Washington,"Which clients spend most on federal lobbying, and on what issues?","820K filings, one ranking.",EDUCATION__FED_SENATE_LDA_FILINGS,single table,ranking,not started,,Table is misfiled under EDUCATION.,,,,,,
v2-097,POLITICS,crawl,Foreign agents by country,Which foreign governments hire the most registered agents in the US?,A map of influence buying.,FOREIGN_INFLUENCE__FED_FARA_BULK,single table,map,not started,,,,,,,,
v2-098,POLITICS,crawl,Google political ads: who they target,"Which advertisers target which age and gender, and how much did they spend weekly?",Targeting made visible.,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS|EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND,"stack, same shape",timeline,not started,v1-86,Misfiled under EDUCATION.,,,,,,
v2-099,POLITICS,crawl,Federal Register output per agency,"Which agencies publish the most rules, and how did executive orders spike by year?",Government activity as a line.,REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS,single table,timeline,not started,,,,,,,,
v2-100,POLITICS,crawl,Jobs with an industry interest,Which federal roles have the most industries with a financial stake?,"Small table, sharp question.",GOVERNANCE__FED_REVOLVINGDOOR_PROJECT,single table,ranking,not started,,405 rows.,,,,,,
v2-101,POLITICS,crawl,Roll calls that split parties,Which votes had the most members crossing party lines?,Vote-level drama.,POLITICS__VOTEVIEW_VOTES|POLITICS__FED_VOTEVIEW_ROLLCALL_META,"stack, same shape",ranking,not started,,Same roll-call ID; not a catalog key.,,,,,,
v1-125,POLITICS,walk,Political nonprofits that lost their tax status,Are they still operating and filing paperwork as if nothing happened?,Would show a compliance gap,POLITICS__IRS527_8871_ORGS|ECONOMICS__FED_IRS_AUTO_REVOCATIONS|POLITICS__IRS527_8872_REPORTS,,,not started,,,,"no query run yet, treat any first number as unverified",,"1,340,465",after revocation,Medium — first probe query needed
v1-78,POLITICS,walk,U.S. Senators,Do they trade stock in industries their own committee oversees?,The core 'Congress insider trading' question,FINANCE__FED_SENATE_STOCK_WATCHER|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP|FED_VOTEVIEW_ROLLCALLS,,,not started,v2-Senators trading in what they oversee,,senate trades now to 2026; roster covers 113-119,amounts are ranges not numbers; roster needs select distinct,reports/politics_probe_2026-09-05/78_senators_trade_their_committee,"957,752",30-day windows,Medium — first probe query needed
v1-86,POLITICS,walk,Political advertisers on Google,Are big-spending political advertisers avoiding official campaign finance reporting?,Would show a loophole in campaign finance transparency,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND|POLITICS__FED_FEC_PAC_SUMMARY|POLITICS__FED_MEDSL_HOUSE_RETURNS,,,not started,v2-Google political ads: who they target,,,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/86_google_ads_no_fec,"374,229",by cycle,Medium — first probe query needed
v1-88,POLITICS,walk,People who run political nonprofits,Are the same people also treasurers of federal campaign committees?,Would show one person managing both a public and 'dark money' operation,POLITICS__IRS527_DIRECTORS_OFFICERS|FINANCE__FED_FEC_COMMITTEES,,,not started,v2-People on many dark-money boards,,"527 Schedule A and B landed, 17.9M rows","no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/88_shared_treasurers,"249,624",untimed,Medium — first probe query needed
v1-89,POLITICS,walk,State-level lobbyists,Do the same people wine and dine state lawmakers and donate federally?,Would show a two-level influence operation,POLITICS__TX_LOBBY_COVER|POLITICS__CA_LOBBY_COVER|FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,,,not started,,,"FEC indiv now 14 cycles, 2000-2026, 283.8M rows","no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/89_state_gifts_federal_checks,"84,980,743",by year,Medium — first probe query needed
v1-93,POLITICS,walk,Counties running elections,Do places with more rejected mail ballots overlap with high-incarceration areas?,Would connect two forms of disenfranchisement,POLITICS__FED_EAC_EAVS|JUSTICE__XC_VERA_INCARCERATION_TRENDS|POLITICS__FED_MEDSL_HOUSE_RETURNS,,,not started,,,,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/93_rejected_ballots_jail,"164,603",survey cycles,Medium — first probe query needed
v1-A35,POLITICS,walk,Members of Congress and their stock trades,Do members trade stock in industries their committee oversees?,This is the classic 'insider trading in Congress' question,FED_HOUSE_FD_PTR_INDEX|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,,,not started,v2-Senators trading in what they oversee,,,"no query run yet, treat any first number as unverified",,"45,762",untimed,Medium — first probe query needed
v1-A36,POLITICS,walk,Fraud-flagged health industries and political donations,Do the industries caught defrauding Medicare fund the committees that oversee Medicare?,Would show the fox funding the henhouse,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,,,not started,v2-Follow the money,,roster now covers congresses 113-119; nothing else blocking,roster is one row per congress; select distinct before joining or dollars fan out,,"870,609",untimed,Medium — first probe query needed
v2-102,POLITICS,walk,Cosponsoring and ideology,Do moderates cosponsor more bills across the aisle?,Catalog item 46.,POLITICS__FED_GOVINFO_BILL_COSPONSORS|POLITICS__FED_VOTEVIEW_MEMBERS,BIOGUIDE / ICPSR,other,not started,,,,,,,,
v2-103,POLITICS,walk,Committee seats and bills sponsored,Do members on more committees sponsor more bills?,Catalog item 47.,POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP|POLITICS__BILLS,BIOGUIDE,other,not started,,,,,,,,
v2-104,POLITICS,walk,Senators trading in what they oversee,Do senators trade stocks in sectors their committees regulate?,The chart people will screenshot.,FINANCE__SENATE_TRADES|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,BIOGUIDE,other,not started,v1-78|v1-A35|v1-91,Sector needs a ticker-to-industry lookup; see wanted list.,,,,,,
v2-105,POLITICS,walk,Money raised versus margin won,Does raising more money buy a bigger win?,Catalog FEC family.,POLITICS__FEC_CANDIDATE_SUMMARY|POLITICS__WHO_WON|POLITICS__FEC_CANDIDATE,FEC_CAND_ID,other,not started,,,,,,,,
v2-106,POLITICS,walk,Individual money per committee per candidate,Which candidates' committees run on small donors?,Catalog item 42.,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS|POLITICS__FEC_COMMITTEE|POLITICS__FEC_CAND_CMTE_LINK,FEC_CMTE_ID / CAND_ID,ranking,not started,,284M rows. Use the PUBLIC rollup first. Not a catalog key; lookup or unproven.,,,,,,
v2-107,POLITICS,walk,PAC money versus individual money,Which committees lean on PACs rather than people?,Catalog item 43.,POLITICS__FED_FEC_PAC_SUMMARY|MONEY_IN_POLITICS__FEC_INDIV_BY_CMTE_CYCLE_AGG,FEC_CMTE_ID,other,not started,,,,,,,,
v2-108,POLITICS,walk,Leadership PACs per politician,Which officeholders run the most leadership PACs and where does the money go?,Catalog item 44.,FINANCE__FED_FEC_LEADERSHIP_PAC|FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,FEC_CMTE_ID / CAND_ID,flow,not started,,Not a catalog key; lookup or unproven.,,,,,,
v2-109,POLITICS,walk,Outside money for and against,Which candidates drew the most independent spending against them?,Support versus oppose in one bar.,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES|POLITICS__FEC_CANDIDATE,FEC_CAND_ID,ranking,not started,v1-84,,,,,,,
v2-110,POLITICS,walk,PAC money and party loyalty,Do members who take more PAC money vote with their party more?,Built member tables share the member key.,POLITICS__MEMBER_PAC_MONEY|POLITICS__MEMBER_VOTING_RECORD|POLITICS__MEMBER_SPINE,BIOGUIDE,other,not started,,,,,,,,
v2-111,POLITICS,walk,Judge ideology by appointing president,How far apart are each president's appointees on the ideology scale?,Presidents as color bands.,POLITICS__FJC_APPOINTMENT|POLITICS__JUDGE_IDEOLOGY_COA,CL_PERSON_ID / FJC id,other,not started,,FJC id to ideology table key not in catalog; check. Not a catalog key; lookup or unproven.,,,,,,
v2-112,POLITICS,walk,"Lobbying firms and their clients, California","Which firms serve the most employers, and which employers hire the most firms?",A bipartite graph.,POLITICS__CA_LOBBY_EMPLOYER_FIRMS|POLITICS__CA_LOBBY_FIRM_EMPLOYER,filer ID,other,not started,,"Same source ID, not a catalog key.",,,,,,
v2-113,POLITICS,walk,Dark-money donors to dark-money groups,"Who gives the most to 527 groups, and which groups?",Schedule A meets the org roster.,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS|POLITICS__IRS527_8871_ORGS,EIN,ranking,not started,,"EIN family, 34 tables; confirm both are in it.",,,,,,
v2-114,POLITICS,walk,Where 527 money gets spent,Which vendors get paid most by 527 groups?,Schedule B is the spending side.,FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES|POLITICS__IRS527_8872_REPORTS,EIN,ranking,not started,,,,,,,,
v1-84,POLITICS,run,Members of Congress who oversee Medicare,Who's spending money for or against them in elections?,Would show who wants influence over Medicare oversight,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES|FINANCE__FED_FEC_CAND_CMTE_LINKAGE|POLITICS__FED_CONGRESS_LEGISLATORS|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,,,"lit — $586.0M against, $191.4M for, congress-matched",v2-Outside money for and against,,"done: IE junk flagged, roster now per congress 113-119",roster is one row per congress; select distinct before joining or it fans out 5.7x,reports/politics_probe_2026-09-05/84_ie_at_cms_overseers,"308,215",by cycle,Medium — first probe query needed
v2-115,POLITICS,run,"One member of Congress, every table","For one member: ideology, votes, bills, committees, money, trades, donors?",A card that proves the warehouse links up.,POLITICS__MEMBER_SPINE|POLITICS__FED_VOTEVIEW_MEMBERS|POLITICS__MEMBER_BILL_RECORD|POLITICS__MEMBER_VOTING_RECORD|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP|POLITICS__MEMBER_PAC_MONEY|POLITICS__MEMBER_INDIV_DONATIONS|FINANCE__SENATE_TRADES|POLITICS__MEMBER_FEC_ID,"BIOGUIDE, FEC_CAND_ID",other,not started,,,,,,,,
v2-116,POLITICS,run,Follow the money,"From individual donor to committee to candidate to outside spending, as one flow?",A sankey of an election.,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS|FINANCE__FED_FEC_COMMITTEES|FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE|FINANCE__FED_FEC_CANDIDATES|FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES,"FEC_CMTE_ID, FEC_CAND_ID",flow,not started,v1-85|v1-A36,,,,,,,
v2-117,POLITICS,run,"Texas lobbying, whole picture","Who spent what on which official, on which subject, for which client?","Six tables, one filer.",POLITICS__TX_LOBBY_COVER|POLITICS__TX_LOBBY_FOOD_BEVERAGE|POLITICS__TX_LOBBY_GIFTS|POLITICS__TX_LOBBY_TRANSPORTATION|POLITICS__TX_LOBBY_SUBJECT_MATTER|POLITICS__TX_LOBBY_INDIVIDUAL_REPORTING,filer ID,other,not started,,"Same-source filer ID, not a catalog key.",,,,,,
v2-118,POLITICS,run,Judicial confirmations against Senate polarization,"Did confirmation margins narrow as the Senate polarized, year by year?",Two long series on one axis.,POLITICS__FED_FJC_SERVICE|POLITICS__FED_VOTEVIEW_MEMBERS|REFERENCE__CALENDAR,year,timeline,not started,,"Year is a lookup, not a catalog key.",,,,,,
v2-119,ENVIRONMENT,crawl,Repeat violators who paid nothing,Which facilities broke rules most often and paid the least?,Built table with minority share nearby.,ENVIRONMENT__EPA_PENALTY_GAP,single table,map,not started,,Built table.,,,,,,
v2-120,ENVIRONMENT,crawl,Dirtiest power plants,Which plants emit the most CO2 per megawatt-hour?,Names and owners on a map.,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022,single table,map,not started,,,,,,,,
v2-121,ENVIRONMENT,crawl,Greenhouse gas by facility since 2010,Which facilities cut emissions and which grew?,A slope chart per facility.,ENVIRONMENT__FED_EPA_GHGRP_EMISSION|ENVIRONMENT__FED_EPA_GHGRP_FACILITY,"stack, same shape",timeline,not started,,"Same facility ID; FRS_ID likely, confirm.",,,,,,
v2-122,ENVIRONMENT,crawl,Toxic releases 2023,"Which facilities released the most, by chemical and by route?","Air, water, land as stacked bars.",ENVIRONMENT__FED_EPA_TRI_BASIC_2023|ENVIRONMENT__FED_EPA_TRI_FACILITY,"stack, same shape",ranking,not started,,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog.",,,,,,
v2-123,ENVIRONMENT,crawl,Discharging into already impaired water,How many permit holders dump into water already listed as impaired?,The flag is in the table.,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,single table,map,not started,,,,,,,,
v2-124,ENVIRONMENT,crawl,Drinking water violations map,Which water systems have the most health-based violations?,15M rows to one map.,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,single table,map,not started,,,,,,,,
v2-125,ENVIRONMENT,crawl,Lead at the tap,"Where did lead samples exceed the limit, and when?","Flint-style question, national scope.",ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES,single table,map,not started,,,,,,,,
v2-126,ENVIRONMENT,crawl,Superfund sites map,Where are Superfund sites and which are on the priority list?,"Boundaries, not dots.",ENVIRONMENT__FED_EPA_SUPERFUND_SITE_BOUNDARIES,single table,map,not started,,,,,,,,
v2-127,ENVIRONMENT,crawl,Fracking water use,"How much water does one frack job use, by state and year?",Gallons people can picture.,ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST,single table,timeline,not started,,,,,,,,
v2-128,ENVIRONMENT,crawl,Trade-secret chemicals,"What share of fracking ingredients hide their chemical ID, and is it rising?",Secrecy as a trend line.,ENVIRONMENT__FED_FRACFOCUS_REGISTRY,single table,timeline,not started,,7.2M rows.,,,,,,
v2-129,ENVIRONMENT,crawl,High-hazard dams in poor condition,Which dams would kill people if they failed and are rated poor?,Map plus years since last inspection.,ENVIRONMENT__FED_NID_DAMS,single table,map,not started,,,,,,,,
v2-130,ENVIRONMENT,crawl,Storm damage by year,Which storm types cause the most dollar damage and deaths per year?,Tornado tracks on a map.,ENVIRONMENT__FED_NOAA_STORM_EVENTS|ENERGY_ENVIRONMENT__NOAA_STORMS_BY_STATE_EVENT_AGG,"stack, same shape",timeline,not started,,Rollup exists in PUBLIC.,,,,,,
v2-131,ENVIRONMENT,crawl,Pipeline incidents by operator,Which gas pipeline operators have the most serious incidents since 2010?,Operator names and deaths.,ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS,single table,ranking,not started,,,,,,,,
v2-132,ENVIRONMENT,crawl,Spill calls to the Coast Guard,"How many spill calls per year, by type, and where?",A million calls.,ENVIRONMENT__FED_USCG_NRC_INCIDENTS,single table,timeline,not started,,,,,,,,
v2-133,ENVIRONMENT,crawl,Orphaned wells map,Where are the abandoned oil and gas wells nobody will plug?,Dots that look like a rash.,ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS,single table,map,not started,,,,,,,,
v2-134,ENVIRONMENT,crawl,A river over fifty years,How did streamflow or groundwater level at one site change over decades?,"Pick one gauge, one long line.",ENVIRONMENT__FED_USGS_WATER,single table,timeline,not started,,6.5M readings.,,,,,,
v2-135,ENVIRONMENT,crawl,Killed defending land,"Where are environmental defenders killed, and by whom?","Names, countries, years.",ENVIRONMENT__INTL_GLOBAL_WITNESS_DEFENDERS,single table,map,not started,,,,,,,,
v2-136,ENVIRONMENT,crawl,"Country CO2, fossil share, warming","How do CO2, fossil share and temperature anomaly move together per country?","Three OWID series, one page.",ENVIRONMENT__XC_OWID_CO2|ENVIRONMENT__XC_OWID_FOSSIL_SHARE|ENVIRONMENT__XC_OWID_TEMP_ANOMALY,country + year,timeline,not started,,"Country code lookup, not a catalog key.",,,,,,
v2-137,ENVIRONMENT,crawl,Air monitors opening and closing,Where were air-quality monitors shut down?,"Fewer monitors, less data.",ENVIRONMENT__FED_EPA_AQS_SITES,single table,map,not started,,,,,,,,
v2-138,ENVIRONMENT,crawl,High-priority air violators,Which air-permitted facilities are flagged high-priority right now?,"One flag, one map.",ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,single table,map,not started,,,,,,,,
v2-139,ENVIRONMENT,crawl,Admitted deviations,What share of big air polluters admit deviating from their permit each year?,Self-reported honesty.,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_TITLEV_CERTS,single table,timeline,not started,,,,,,,,
v2-140,ENVIRONMENT,crawl,"Hazardous waste, months in violation",Which handlers stayed in serious violation the longest?,A month-by-month status strip.,ENVIRONMENT__FED_EPA_RCRA_VIOSNC_HISTORY,single table,timeline,not started,,,,,,,,
v2-141,ENVIRONMENT,crawl,Stack tests failed,Which facilities fail smokestack tests most?,"Pass-fail, per facility.",ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_STACK_TESTS,single table,ranking,not started,,,,,,,,
v2-142,ENVIRONMENT,crawl,Minerals by country,Which countries hold the reserves of each critical mineral?,A world map per mineral.,ENVIRONMENT__FED_USGS_MINERALS,single table,map,not started,,,,,,,,
v2-143,ENVIRONMENT,crawl,Water system size versus owner type,Are small private systems more common than people think?,Population served by owner type.,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,single table,other,not started,,,,,,,,
v1-101,ENVIRONMENT,walk,Counties hit hard by flooding,Are they still using outdated flood maps?,Would show regulators failing to update risk after real damage,ENVIRONMENT__FED_NOAA_STORM_EVENTS|HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK,,,not started,v2-Flood insurance map,,,"no query run yet, treat any first number as unverified",,"1,805,855",2015+,Medium — first probe query needed
v1-103,ENVIRONMENT,walk,Companies that report chemical or oil spills,Do they still win federal contracts afterward?,"Would show spillers getting rewarded, not penalized",ENVIRONMENT__FED_USCG_NRC_INCIDENTS|FED_USASPENDING_CONTRACTS_FULL_R2|PROCUREMENT__FED_SAM_EXCLUSIONS,,,not started,,,,"no query run yet, treat any first number as unverified",,"94,350,772",same years,Medium — first probe query needed
v1-142,ENVIRONMENT,walk,Industrial facilities,Do some have pollution spikes that never trigger a violation?,Would show gaps in pollution enforcement,FED_EPA_CAMPD_EMISSIONS_DAILY|ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY|ENVIRONMENT__FED_EPA_AQS_SITES,,,not started,,,,"no query run yet, treat any first number as unverified",,"16,637,002",daily,Medium — first probe query needed
v1-17,ENVIRONMENT,walk,Banks and the pollution sites they finance,Same as #3 but through a different bank record,Would show hidden bank-to-polluter money,FINANCE__FED_FDIC_BANK_DATA|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,,,missing a piece,,,,that bank ID field is empty everywhere,,"5,327,985",n/a,Skip — already ruled out
v1-26,ENVIRONMENT,walk,"Counties hit by big storms, and government-subsidized housing",Does housing sit empty after a big storm instead of getting rebuilt?,Would show disaster recovery money not reaching people,ENVIRONMENT__FED_NOAA_STORM_EVENTS|HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,,,part done,,,,"Setup works, needs a real run",,"1,794,280","1996-2025, one MFH snapshot","Medium — partial run, needs finishing"
v1-A34,ENVIRONMENT,walk,Members of Congress and pollution in their district,Do polluted districts get less help from their representative?,Would show political neglect of poisoned communities,FED_HOUSE_DISBURSEMENTS|ENVIRONMENT__FED_EPA_TRI_FACILITY|HOUSING__FED_MAPPING_INEQUALITY,,,not started,,,,"no query run yet, treat any first number as unverified",,"4,980,621",untimed,Medium — first probe query needed
v1-E32,ENVIRONMENT,walk,Counties hit by floods,Do drinking water violations spike after a flood?,Would show disaster damage hitting the water supply,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT|HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,,,nothing there,,,,only true in two states,,"41,683,657",2015-2024,Skip — already ruled out
v1-E33,ENVIRONMENT,walk,Sewage treatment plants after storms,Do they violate pollution rules more right after a storm?,Would show storms overwhelming sewage systems,ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY|ENVIRONMENT__FED_NOAA_STORM_EVENTS,,,found a little,,,,"Real but small, and it flips the wrong direction for related permits",,"9,732,386",quarterly,"Medium — partial run, needs finishing"
v1-E53,ENVIRONMENT,walk,Poor and minority neighborhoods with water violations,Do they get penalized less often than other neighborhoods?,Would show unequal enforcement of environmental law,ENVIRONMENT__FED_EPA_ECHO|DIM_TRACT,,,nothing there,,,,those areas are actually penalized less,,"3,220,945",snapshot,"Medium — partial run, needs finishing"
v1-E54,ENVIRONMENT,walk,Factories that violate air pollution rules,Do they pay workers less than clean factories?,Tests if pollution and low wages travel together,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY|ECONOMICS__FED_BLS_QCEW,,,nothing there,,,,turned out to be about oil refineries specifically,,"3,721,474",one year,Skip — already ruled out
v1-E55,ENVIRONMENT,walk,Subsidized housing near polluting or noncompliant sites,Is poor housing placed disproportionately near hazards?,Would show poor communities steered toward danger,HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS|ENVIRONMENT__FED_EPA_ECHO|ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,,,nothing there,,,,no real pattern once population size is accounted for,,"18,603,892",snapshot,Skip — already ruled out
v2-144,ENVIRONMENT,walk,Violations per permit against inspections,"Do more inspections find more violations, or fewer?",Catalog item 26.,ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS,NPDES_ID,other,not started,,,,,,,,
v2-145,ENVIRONMENT,walk,Enforcement by industry,Which industries draw the most enforcement per facility?,Catalog item 27.,ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_NAICS,NPDES_ID,ranking,not started,,,,,,,,
v2-146,ENVIRONMENT,walk,Quarterly noncompliance by old industry code,Which SIC sectors are chronically noncompliant?,Catalog item 28.,ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY|ENVIRONMENT__FED_EPA_NPDES_NPDES_SICS,NPDES_ID,other,not started,,,,,,,,
v2-147,ENVIRONMENT,walk,Violations per person served,Which water systems have the most violations per resident?,Catalog item 29.,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT|ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWSID,map,not started,,,,,,,,
v2-148,ENVIRONMENT,walk,Site visits against violations,Do systems with more visits have fewer violations?,Catalog item 30.,ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS|ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,PWSID,other,not started,,,,,,,,
v2-149,ENVIRONMENT,walk,Lead exceedances by area served,Which cities and zips drink from systems with lead exceedances?,Catalog item 31.,ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES|ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS,PWSID,map,not started,,,,,,,,
v2-150,ENVIRONMENT,walk,Air emissions by corporate parent,Which parent companies own the most air pollution?,Catalog item 32.,ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FRS_ID,ranking,not started,,,,,,,,
v2-151,ENVIRONMENT,walk,Toxic releases per county,Which counties carry the most toxic release per resident?,Catalog item 33.,ENVIRONMENT__FED_EPA_TRI_BASIC_2023|DIM_COUNTY,FIPS,map,not started,,,,,,,,
v2-152,ENVIRONMENT,walk,EPA facilities against county jobs,"Do counties with more EPA facilities have more jobs, or just more pollution?",Catalog item 37.,ENVIRONMENT__FED_EPA_FRS_FACILITIES|ECONOMICS__FED_BLS_QCEW,FIPS,other,not started,,,,,,,,
v2-153,ENVIRONMENT,walk,Storms and FEMA housing aid,Which counties' storm damage turned into the most FEMA housing registrations?,Catalog item 40.,ENVIRONMENT__FED_NOAA_STORM_EVENTS|HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,FIPS,map,not started,,FEMA table is a partial load; counts are floors.,,,,,,
v2-154,ENVIRONMENT,walk,Subsidiaries with EPA facilities,Which global parents own the most EPA-tracked facilities through subsidiaries?,Catalog item 53.,ECONOMICS__INTL_GLEIF_RELATIONSHIPS|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,LEI,other,not started,,,,,,,,
v2-155,ENVIRONMENT,walk,Penalties against releases,Do facilities that release the most pay the most?,ECHO penalties meet TRI pounds.,ENVIRONMENT__FED_EPA_ECHO|ENVIRONMENT__FED_EPA_TRI_BASIC_2023,FRS_ID,other,not started,,,,,,,,
v2-156,ENVIRONMENT,walk,Facilities in every program,"Which facilities are in air, water, waste and toxic programs all at once?","Program links per facility, counted.",ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS|ENVIRONMENT__FED_EPA_FRS_FACILITIES,FRS_ID,ranking,not started,,,,,,,,
