model,column,clock,grain,is_primary,confidence,why,overturned_from,overturn_why,evidence_file
politics__fed_medsl_senate_returns,candidate_votes,not_a_date,unknown,False,high,"FALSE POSITIVE - a vote COUNT, try_to_number(candidatevotes).",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__fed_medsl_senate_returns.sql
politics__fed_voteview_rollcall_meta,date,happened,day,True,high,"The day the roll-call vote was taken; this mart passes raw DATE through UNCAST, but the sibling staging model documents it landing as 'YYYY-MM-DD' and parses it with that explicit format.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/politics/stg_fed_voteview_rollcall_meta__rollcalls.sql
politics__intl_owid_milspend,year,happened,year,True,high,"The observation year of an annual country-level military-spending series; try_to_number(YEAR) so it is an INTEGER, not a date - year is the finest real resolution.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__intl_owid_milspend.sql
politics__intl_voeten_unga_votes,year,happened,year,True,high,Year of the UN General Assembly session the vote-agreement row covers; try_to_number(YEAR) integer - do NOT read day grain into this 1.8M-row table.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__intl_voeten_unga_votes.sql
politics__member_crosswalk,last_term_type,not_a_date,unknown,False,high,"FALSE POSITIVE - chamber code ('sen'/'rep') carried over from TERM_TYPE; trimmed text, no time meaning.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/politics/stg_fed_congress_legislators__members.sql
politics__member_crosswalk,first_term_start,span_start,day,True,medium,"Start of the member's congressional career on a one-row-per-member table - the only forward-looking anchor here; raw trimmed TEXT in staging, never cast to date.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/politics/stg_fed_congress_legislators__members.sql
politics__member_crosswalk,last_term_end,span_end,day,False,medium,"End of the member's most recent term; for sitting members it is a SCHEDULED FUTURE date, so far-future values are legitimate here; raw trimmed TEXT.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/politics/stg_fed_congress_legislators__members.sql
politics__member_fec_id,last_term_type,not_a_date,unknown,False,high,"FALSE POSITIVE - chamber code ('sen'/'rep') carried from the crosswalk; this bridge table has NO other time-shaped column, so it has no clock at all.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__member_fec_id.sql
politics__member_money_raised,cycle,span_end,year,True,medium,"FEC two-year election cycle the money total covers, inherited from fec_candidate_summary and part of the (bioguide, cycle) key; a period label naming its closing year, not a point event.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__member_money_raised.sql
politics__member_money_raised,n_candidate_ids,not_a_date,unknown,False,high,"FALSE POSITIVE - a COUNT, count(distinct cand_id); no time meaning whatsoever.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__member_money_raised.sql
politics__member_spine,last_term_type,not_a_date,unknown,False,high,FALSE POSITIVE - chamber code ('sen'/'rep') passed through from the crosswalk.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__member_spine.sql
politics__member_spine,first_term_start,span_start,day,True,medium,"Start of the member's career, passed straight through from the crosswalk; raw TEXT upstream, never cast to date.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__member_spine.sql
politics__member_spine,last_term_end,span_end,day,False,medium,"End of the member's most recent term, from the crosswalk; scheduled future dates are legitimate for sitting members.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__member_spine.sql
politics__st_cannabis_policy_bundles,year,happened,year,True,high,"Panel-observation year of a state-year policy grid (the repo's spine backfill records the natural key as FIPS+YEAR; 1,500 rows is 50 states x 30 years); try_to_number(YEAR) integer.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__st_cannabis_policy_bundles.sql
politics__st_cannabis_policy_bundles,mml_approved,not_a_date,unknown,False,medium,"LIKELY FALSE POSITIVE - it sits inside a block of ~100 paired approved/implemented policy-provision indicators (mml_imp, ballot_measure, bm_passed, legislative_action which IS cast try_to_double), so it reads as an approved-or-not flag for that state-year, not a date; uncast raw passthrough and the census logged no date range for this table.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__st_cannabis_policy_bundles.sql
politics__st_cannabis_policy_bundles,rec_cann_approved,not_a_date,unknown,False,medium,"LIKELY FALSE POSITIVE - same approved/implemented indicator family as mml_approved (recreational cannabis approved flag for the state-year); uncast raw passthrough, no census date range.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__st_cannabis_policy_bundles.sql
politics__voteview_rollcalls,vote_date,happened,day,True,high,"The day the roll-call vote was taken; staging parses it with an explicit try_to_date(...,'YYYY-MM-DD') after sampling the landed format on 2026-08-11.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/politics/stg_fed_voteview_rollcall_meta__rollcalls.sql
politics__xc_jcs_medians,year,happened,year,True,high,"Observation year of an annual institution-ideology panel (102 rows, roughly one per year); try_to_number(YEAR) integer.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__xc_jcs_medians.sql
politics__xc_jcs_medians,term,happened,year,False,medium,"Supreme Court TERM label (a year number in the Judicial Common Space files), sitting beside year and congress; raw uncast passthrough - a SCOTUS term straddles Oct-Sep, so it is not a clean calendar year.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__xc_jcs_medians.sql
politics__xc_jcs_scotus,term,happened,year,True,medium,"Supreme Court term the justice's ideology score belongs to (782 rows = justice x term) - the only time-shaped column on the table; raw uncast passthrough year number, and a SCOTUS term runs Oct-Sep so it is not exactly a calendar year.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__xc_jcs_scotus.sql
politics__xc_owid_cpi,year,happened,year,True,high,"Observation year of the annual Corruption Perceptions Index country panel; try_to_number(YEAR) integer, year grain only.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/politics/politics__xc_owid_cpi.sql
procurement__fed_sam_exclusions,activation_date,span_start,day,True,high,"Day the debarment/suspension took effect - it opens the exclusion period the model itself describes ('and for how long?') and is cast try_to_date(...,'YYYY-MM-DD'); the census's 1908 minimum is a source typo, not a parse bug.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/procurement/procurement__fed_sam_exclusions.sql
procurement__fed_sam_exclusions,termination_date_raw,not_a_date,unknown,False,high,"FALSE POSITIVE - the model header states this is the LITERAL TEXT 'Indefinite' on about 95% of rows; it is the uncast string kept beside the parsed column, so it is mostly not a date at all.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/procurement/procurement__fed_sam_exclusions.sql
procurement__fed_sam_exclusions,termination_date,span_end,day,False,high,"Day the exclusion lapses - the parsed half of the pair, NULL on the ~95% 'Indefinite' rows; the census's 2227 max and 1,690 far-future rows are real source placeholder dates for effectively permanent debarments.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/procurement/procurement__fed_sam_exclusions.sql
procurement__fed_usaspending_bulk,action_date,happened,day,True,high,"Day the contract action (award or modification) was signed - the transaction event and part of the table's uniqueness key; NOTE the staging model states plainly 'Casts kept as landed (TEXT)', so this is an UNCAST date string.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,action_date_fiscal_year,not_a_date,unknown,False,high,"THE KNOWN TRAP - a bare 4-digit FISCAL-year label ('2012') landed as TEXT; it is not a calendar date (federal FY runs Oct-Sep), it is redundant with action_date on the same row, and a bare date-parse reads it as epoch seconds and collapses every row to 1970-01-01.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,period_of_performance_start_date,span_start,day,False,high,Opens the contract's period of performance; uncast TEXT per the staging header.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,period_of_performance_current_end_date,span_end,day,False,high,Closes the currently-exercised period of performance; legitimately in the future for live contracts; uncast TEXT.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,period_of_performance_potential_end_date,span_end,day,False,high,"Closes the period of performance if every option is exercised - a HYPOTHETICAL end, always at or after the current end; uncast TEXT.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,ordering_period_end_date,span_end,day,False,medium,Last day orders can be placed against the vehicle (IDV ordering window) - a different span from the performance period; uncast TEXT.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,solicitation_date,happened,day,False,medium,"Day the agency issued the solicitation that led to this award - a real event earlier than action_date, so the gap is a procurement-speed measure; uncast TEXT and sparsely populated in FPDS.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,number_of_offers_received,not_a_date,unknown,False,high,FALSE POSITIVE - a COUNT of bids; it matched only on the word 'received' in its name.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,consolidated_contract_code,not_a_date,unknown,False,high,FALSE POSITIVE - an FPDS Y/N flag code; it matched because the substring 'date' hides inside 'consoli-DATE-d'.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,consolidated_contract,not_a_date,unknown,False,high,FALSE POSITIVE - the text label for the consolidated-contract flag; same 'consoli-DATE-d' substring artefact.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,multi_year_contract_code,not_a_date,unknown,False,high,FALSE POSITIVE - an FPDS Y/N flag code for multi-year contracts; matched only on the word 'year'.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,multi_year_contract,not_a_date,unknown,False,high,FALSE POSITIVE - the text label for the multi-year flag; matched only on 'year'.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,initial_report_date,reported,day,False,high,Day the transaction was FIRST reported into FPDS - the classic reporting-lag partner to action_date; uncast TEXT.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_bulk,last_modified_date,reported,day,False,medium,"Day the FPDS record was last edited by the reporting agency - the PUBLISHER's bookkeeping, not Ripple's, so it is 'reported' rather than 'ingest'; it tells you about the filing, not the contract.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_bulk/stg_fed_usaspending_bulk__organizations.sql
procurement__fed_usaspending_subawards,action_date,happened,day,True,high,"Day the subaward action occurred, pulled from the JSON record with try_to_date; the census max of 2026-06-10 16:00:23.716 carries a millisecond time and must have bled in from _ingested_at, since this column is date-typed.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_usaspending_subawards/stg_fed_usaspending_subawards__subawards.sql
procurement__intl_ec_sercop,record_date,reported,day,False,medium,"The OCDS record's own release date - when SERCOP published or refreshed this contracting record, not when anything happened; try_to_date(DATE) in staging.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/intl_ec_sercop/stg_intl_ec_sercop__contracting_process.sql
procurement__intl_ec_sercop,tender_date_published,reported,day,False,high,Day the tender notice was published to the portal - a publication clock; try_to_date(TENDER_DATEPUBLISHED) in staging.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/intl_ec_sercop/stg_intl_ec_sercop__contracting_process.sql
procurement__intl_ec_sercop,award_date,decided,day,False,high,Day the buying authority awarded the contract - the authority's ruling; try_to_date(AWARD_DATE) in staging.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/intl_ec_sercop/stg_intl_ec_sercop__contracting_process.sql
procurement__intl_ec_sercop,contract_date_signed,happened,day,True,high,"Day the contract was actually signed - the real-world event the row exists to record; try_to_date(CONTRACT_DATESIGNED) in staging; note the census's 2026-12-17 max is beyond today, so at least one date column here carries future or bad values worth a real query later.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/intl_ec_sercop/stg_intl_ec_sercop__contracting_process.sql
investigations__intl_leiden_russian_ops_europe,incidentyear,unclear,year,False,medium,"Year the incident occurred - a raw uncast passthrough year value, coarser than the start/end pair on the same row.",is_primary=false,"The same scan line shows INCIDENTYEAR is TEXT with shape_year_only=146 of 153 rows (95% usable) against incidentdatestart's 45. It is also a 'happened' clock, which the primary rule ranks ABOVE 'span_start'. Both the stated preference order and coverage point the same way, so incidentyear is the best single axis for this table even at year grain. Clock=happened and grain=year are correct as called.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/investigations/investigations__intl_leiden_russian_ops_europe.sql
investigations__intl_leiden_russian_ops_europe,incidentmonth,not_a_date,unknown,False,medium,A month-of-year COMPONENT sitting beside incidentyear (the source splits year and month into separate fields); alone it cannot be placed on a timeline; uncast raw passthrough.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/investigations/investigations__intl_leiden_russian_ops_europe.sql
investigations__intl_leiden_russian_ops_europe,incidentdaterange,not_a_date,unknown,False,low,"Reads as a flag or free-text note saying whether the incident date is a RANGE rather than a single day - it sits immediately before incidentdatestart/end, which is how coders usually mark date uncertainty; uncast raw passthrough and I could not confirm its values without the warehouse, so treat this as a labelled guess.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/investigations/investigations__intl_leiden_russian_ops_europe.sql
investigations__intl_leiden_russian_ops_europe,incidentdatestart,unclear,day,True,medium,"Opens the window in which the incident occurred - the finest real clock on this 153-row table (incidentyear is only year grain); uncast raw passthrough, so the stored format is unverified.",is_primary=true,"WRONG PRIMARY. The census scan file records INCIDENTDATESTART as TEXT with nonnull=153 but shape_iso=45 and trusted_n=45 -- only 45 of 153 rows are parseable dates. Its raw_max is the literal string 'March', so the column mixes ISO dates, bare month names and blanks. Choosing it as the table's axis silently drops 108 of 153 incidents (71%) off any timeline. The classifier's stated reason ('the finest real clock on this 153-row table') is true about resolution and false about coverage. Clock=span_start and grain=day are correct and should stand; only the primary flag moves.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/investigations/investigations__intl_leiden_russian_ops_europe.sql
investigations__intl_leiden_russian_ops_europe,incidentdateend,span_end,day,False,medium,Closes the incident window; equals the start for single-day incidents; uncast raw passthrough.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/investigations/investigations__intl_leiden_russian_ops_europe.sql
investigations__xc_wayback_replay_doj_deep_pages,capture_timestamp_raw,happened,day,True,medium,"The moment the Internet Archive captured the DOJ page - a third party's event, NOT our ingest (fetched_at_utc and _loaded_at are ours); it is the raw 'YYYYMMDDHH24MISS' STRING, which the mart parses only with that explicit format, and the census range of Feb-Jun 2026 looks like our load window rather than the real capture span.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/investigations/investigations__xc_wayback_replay_doj_deep_pages.sql
investigations__xc_wayback_replay_doj_listing,capture_timestamp_raw,happened,day,True,medium,"Same as the deep-pages table: the archive's capture instant as a raw 'YYYYMMDDHH24MISS' STRING (the typed twin captured_at sits beside it); not ingest, and the census's Dec 2025-Jun 2026 range smells like our own load window, not the capture history.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/investigations/investigations__xc_wayback_replay_doj_listing.sql
education__fed_google_polads_advertiser_weekly_spend,election_cycle,not_a_date,unknown,False,low,"Kept uncast in the mart and used as part of the uniqueness key alongside week_start_date, so it reads as a categorical Google-transparency cycle label (e.g. a region+cycle string), not a point in time; I could not sample its values with the warehouse down.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\marts\politics_lobbying\schema_fed_google_polads_advertiser_weekly_spend.yml
education__fed_google_polads_advertiser_weekly_spend,week_start_date,span_start,day,True,high,"try_to_date(WEEK_START_DATE) in the mart; it is the Monday that opens each weekly spend bucket, so it is a real date whose underlying fact covers a week.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\politics_lobbying\education__fed_google_polads_advertiser_weekly_spend.sql
education__fed_google_polads_creative_stats,date_range_start,span_start,day,True,high,try_to_date(DATE_RANGE_START) — the reported first day of the window this ad's stats cover; the only properly typed DATE on the table.,,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\politics_lobbying\education__fed_google_polads_creative_stats.sql
education__fed_google_polads_creative_stats,date_range_end,span_end,day,False,high,try_to_date(DATE_RANGE_END) — the last day of the same reported stats window.,,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\politics_lobbying\education__fed_google_polads_creative_stats.sql
education__fed_google_polads_creative_stats,num_of_days,not_a_date,unknown,False,high,"try_to_number(NUM_OF_DAYS) — a duration count in days, the same bug class as days_received_to_company; never parse as a date.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\politics_lobbying\education__fed_google_polads_creative_stats.sql
education__fed_google_polads_creative_stats,first_served_timestamp,span_start,day,False,medium,"Pass-through with no cast at all, so its stored type is whatever landed; by name it is when the creative first actually served, i.e. the real start of the serving window.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\politics_lobbying\education__fed_google_polads_creative_stats.sql
education__fed_google_polads_creative_stats,last_served_timestamp,span_end,day,False,medium,Pass-through with no cast; by name it closes the actual serving window of the creative.,,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\politics_lobbying\education__fed_google_polads_creative_stats.sql
education__fed_google_polads_creative_stats,age_targeting,not_a_date,unknown,False,high,"Uncast pass-through holding the audience age brackets the ad targeted; an age/bracket string, not a date.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\politics_lobbying\education__fed_google_polads_creative_stats.sql
education__fed_senate_lda_filings,filing_year,span_start,year,False,medium,"Uncast pass-through of FILING_YEAR — a bare calendar year naming the year the lobbying report covers; real year, but a bare date-parse of '2020' is exactly the epoch-1970 collapse bug.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\education\education__fed_senate_lda_filings.sql
education__fed_senate_lda_filings,filing_period,not_a_date,quarter,False,medium,"Uncast code naming which LDA reporting period the filing is for (quarterly/mid-year style codes); a period code, not a date.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\education\education__fed_senate_lda_filings.sql
education__fed_senate_lda_filings,filing_period_display,not_a_date,quarter,False,medium,"The human-readable label for the same period code — display text, not a date.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\education\education__fed_senate_lda_filings.sql
education__fed_senate_lda_filings,dt_posted,reported,day,True,medium,"When the Senate posted the filing to the public LDA database — the classic reported clock; note the mart applies no cast, so its stored type is whatever landed, and the census's 2020-2021 range cannot have come from it.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\education\education__fed_senate_lda_filings.sql
education__fed_senate_lda_filings,termination_date,span_end,day,False,high,"try_to_date(TERMINATION_DATE) — closes the registrant/client lobbying engagement; the only DATE-typed column here, so the census's 2020-01-01..2021-12-31 range describes this column, not the file's coverage.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\target\compiled\ripple\models\marts\education\education__fed_senate_lda_filings.sql
politics__ca_lobby_amendments,exec_date,reported,day,True,high,"try_to_date(split_part(EXEC_DATE,' ',1),'MM/DD/YYYY') — the date the Form 605 amendment was executed and submitted; the row's own filing event.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__amendments.sql
politics__ca_lobby_amendments,from_date,span_start,day,False,high,Same MM/DD/YYYY cast; opens the period the amendment covers.,,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__amendments.sql
politics__ca_lobby_amendments,thru_date,span_end,day,False,high,"Same MM/DD/YYYY cast; closes the covered period. The census's 0107-10-31 / 5201-11-18 extremes and 15 far-future rows are published CAL-ACCESS typo years surviving a strict-format parse, not a cast bug.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__amendments.sql
politics__ca_lobby_chg_log,log_dt,reported,day,True,high,"try_to_date(...,'MM/DD/YYYY') — the date the registry logged the change; for a change-log grain this is the row's own recorded event and the one column certain to carry a value on every row.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__chg_log.sql
politics__ca_lobby_chg_log,ethics_dt,happened,day,False,low,"Real MM/DD/YYYY date column, but I could not confirm what it dates; by CAL-ACCESS convention it is the filer's ethics-training completion date. Treat the meaning as unverified.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__chg_log.sql
politics__ca_lobby_chg_log,effect_dt,happened,day,False,medium,"MM/DD/YYYY date for when the logged attribute change takes effect — the truer real-world clock than log_dt, but I could not verify its fill rate with the warehouse down, so log_dt is the safer primary.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__chg_log.sql
politics__ca_lobby_contributions,filing_period_start_dt,span_start,day,False,high,"try_to_date(...,'MM/DD/YYYY') — opens the disclosure period the contribution was reported in; the dense fallback placement for rows whose contribution_dt is blank.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__contributions.sql
politics__ca_lobby_contributions,filing_period_end_dt,span_end,day,False,high,Same cast; closes the disclosure period.,,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__contributions.sql
politics__ca_lobby_contributions,contribution_dt,happened,day,True,high,"try_to_date(...,'MM/DD/YYYY') — when the money actually moved. WARNING: the model's own header says CONTRIBUTION_DT is blank on many rows as published, so coverage is partial and filing_period_start_dt is the fallback.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__contributions.sql
politics__ca_lobby_cover,rpt_date,reported,day,True,high,"try_to_timestamp(RPT_DATE,'MM/DD/YYYY HH12:MI:SS AM') — the report date on the disclosure cover page; the time part is midnight padding so the real resolution is a day.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby_cover\stg_ca_lobby_cover__filings.sql
politics__ca_lobby_cover,from_date,span_start,day,False,high,Same timestamp cast; opens the period the cover page reports on.,,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby_cover\stg_ca_lobby_cover__filings.sql
politics__ca_lobby_cover,thru_date,span_end,day,False,high,"Same timestamp cast; closes the reported period. The 0001-07-01 / 8201-04-01 extremes and 219 far-future rows are published typo years passing a strict format, not a cast defect.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby_cover\stg_ca_lobby_cover__filings.sql
politics__ca_lobby_employer,current_qtr_amt,not_a_date,unknown,False,high,"try_to_number(...,18,2) — a dollar amount for the current quarter; matched on 'qtr' only.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,session_yr_1,span_start,year,True,medium,"Kept as trimmed text while every amount column beside it got try_to_number(18,2), so it reads as the first calendar year of the two-year legislative session — the only real clock on this employer-session table.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,session_yr_2,span_end,year,False,medium,"Same treatment as session_yr_1; the second calendar year of the session, closing the span.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,yr_1_ytd_amt,not_a_date,unknown,False,high,"try_to_number(...,18,2) — year-1 year-to-date dollars.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,yr_2_ytd_amt,not_a_date,unknown,False,high,"try_to_number(...,18,2) — year-2 year-to-date dollars.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,qtr_1,not_a_date,unknown,False,high,"try_to_number(...,18,2) — quarter-1 dollar total, not a quarter label.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,qtr_2,not_a_date,unknown,False,high,"try_to_number(...,18,2) — quarter-2 dollar total.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,qtr_3,not_a_date,unknown,False,high,"try_to_number(...,18,2) — quarter-3 dollar total.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,qtr_4,not_a_date,unknown,False,high,"try_to_number(...,18,2) — quarter-4 dollar total.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,qtr_5,not_a_date,unknown,False,high,"try_to_number(...,18,2) — quarter-5 dollar total.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,qtr_6,not_a_date,unknown,False,high,"try_to_number(...,18,2) — quarter-6 dollar total.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,qtr_7,not_a_date,unknown,False,high,"try_to_number(...,18,2) — quarter-7 dollar total.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
politics__ca_lobby_employer,qtr_8,not_a_date,unknown,False,high,"try_to_number(...,18,2) — quarter-8 dollar total.",,,C:\Code\Ripple_v6\library-onboarding\ripple_dbt\models\staging\ca_lobby\stg_ca_lobby__employer.sql
