table	column	check	result	severity	proposed_fix
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	CO_APPLICANT_RACE_3	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['24', '25']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	APPLICANT_RACE_OBSERVED	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1', '3', '2']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	CO_APPLICANT_RACE_OBSERVED	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1', '4', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	APPLICANT_SEX	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1', '2', '4']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	CO_APPLICANT_SEX	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2', '5', '4']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	APPLICANT_SEX_OBSERVED	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1', '3', '2']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	CO_APPLICANT_SEX_OBSERVED	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1', '4', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	APPLICANT_AGE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['25-34', '35-44', '45-54']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	CO_APPLICANT_AGE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['25-34', '9999', '8888']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	APPLICANT_AGE_ABOVE_62	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['No', 'Yes']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_DC_ONLY	CO_APPLICANT_AGE_ABOVE_62	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['No', 'Yes']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	LOAN_TYPE_NAME	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['Conventional', 'VA-guaranteed', 'FHA-insured']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	PROPERTY_TYPE_NAME	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['One-to-four family dwelling (other than manufactured housing)', 'Manufactured housing', 'Multifamily dwelling']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	STATE_NAME	C2 name tag holds something else	places; org words 0.4%, people 0.0%; e.g. ['Missouri', 'Indiana', 'South Carolina']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	STATE_CODE	C2 tag fails its format	STATE: 0.0% of 1968 sampled values fit; e.g. ['29', '18', '45']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	STATE_CODE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['29', '18', '45']	moderate	retire the regex catalog; tag with the platform tagger
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	COUNTY_NAME	C2 name tag holds something else	places; org words 98.3%, people 0.0%; e.g. ['St. Charles County', 'Hamilton County', 'Lancaster County']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_ETHNICITY_NAME	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['Not Hispanic or Latino', 'Not applicable', 'Hispanic or Latino']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_ETHNICITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2', '4', '1']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	CO_APPLICANT_ETHNICITY_NAME	C2 name tag holds something else	things, not names; org words 50.0%, people 0.0%; e.g. ['No co-applicant', 'Not applicable', 'Hispanic or Latino']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	CO_APPLICANT_ETHNICITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5', '4', '1']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_RACE_NAME_1	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['White', 'Not applicable', 'Asian']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_RACE_1	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5', '7', '2']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_RACE_NAME_2	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['White', 'American Indian or Alaska Native', 'Black or African American']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_RACE_2	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5', '1', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_RACE_NAME_3	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['White']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_RACE_3	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	CO_APPLICANT_RACE_NAME_1	C2 name tag holds something else	things, not names; org words 50.0%, people 0.0%; e.g. ['No co-applicant', 'Not applicable', 'White']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	CO_APPLICANT_RACE_1	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['8', '7', '5']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	CO_APPLICANT_RACE_NAME_2	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['Black or African American', 'White']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	CO_APPLICANT_RACE_2	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['3', '5']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_SEX_NAME	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['Male', 'Not applicable', 'Female']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_SEX	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1', '4', '2']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	CO_APPLICANT_SEX_NAME	C2 name tag holds something else	things, not names; org words 50.0%, people 0.0%; e.g. ['No co-applicant', 'Not applicable', 'Female']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	CO_APPLICANT_SEX	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5', '4', '2']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	APPLICANT_INCOME_000S	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['30', '101', '34']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC	PURCHASER_TYPE_NAME	C2 name tag holds something else	things, not names; org words 11.8%, people 0.0%; e.g. ['Commercial bank, savings bank or savings association', 'Freddie Mac (FHLMC)', 'Loan was not originated or was not sold in calendar year covered by register']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_ETHNICITY_1	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2', '4', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_ETHNICITY_2	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['11', '14', '13']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_ETHNICITY_3	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['14', '13']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_ETHNICITY_1	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5', '2', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_ETHNICITY_2	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['11', '14', '13']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_ETHNICITY_OBSERVED	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2', '3', '1']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_ETHNICITY_OBSERVED	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['4', '2', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_RACE_1	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['3', '7', '6']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_RACE_2	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5', '3', '21']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_RACE_3	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['26', '22', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_RACE_4	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['44']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_RACE_1	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['8', '3', '6']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_RACE_2	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['22', '44', '25']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_RACE_3	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5', '22']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_RACE_OBSERVED	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2', '3', '1']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_RACE_OBSERVED	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['4', '2', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_SEX	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1', '4', '2']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_SEX	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5', '1', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_SEX_OBSERVED	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2', '3', '1']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_SEX_OBSERVED	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['4', '2', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_AGE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['65-74', '8888', '55-64']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_AGE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['9999', '65-74', '55-64']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	APPLICANT_AGE_ABOVE_62	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Yes', 'No']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_CFPB_HMDA_LAR	CO_APPLICANT_AGE_ABOVE_62	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Yes', 'No']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS	APPLICANT_AGE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['50-64', '35-49', '19-34']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_FHFA_HPI	PLACE_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['East North Central Division', 'East South Central Division', 'Middle Atlantic Division']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_FHFA_SUSPENDED_COUNTERPARTY	STATE	C2 tag fails its format	STATE: 0.0% of 241 sampled values fit; e.g. ['Florida', 'Oregon', 'North Carolina']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HOUSING.HOUSING__FED_FHFA_SUSPENDED_COUNTERPARTY	STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['Florida', 'Oregon', 'North Carolina']	moderate	retire the regex catalog; tag with the platform tagger
HOUSING.HOUSING__FED_HUD_DATA	FIPS	C2 tag fails its format	FIPS: 0 of 71 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HOUSING.HOUSING__FED_HUD_DATA	ZIP	C2 tag fails its format	ZIP: 0 of 71 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HOUSING.HOUSING__FED_HUD_DATA	EIN	C2 tag fails its format	EIN: 0 of 71 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HOUSING.HOUSING__FED_HUD_MF_FIRM_COMMITMENTS	FACILITY_TYPE	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['Apartment', 'Coop', 'Single-Room Occupancy']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_MF_SECTION8_CONTRACTS	TRACS_STATUS_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Active', 'Expired', 'Terminated']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_MF_SECTION8_CONTRACTS	PROGRAM_TYPE_NAME	C2 name tag holds something else	things, not names; org words 0.7%, people 0.0%; e.g. ['RAD PH Conv', '202/8 SR', 'LMSA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_MF_SECTION8_CONTRACTS	PROGRAM_TYPE_GROUP_NAME	C2 name tag holds something else	things, not names; org words 15.2%, people 0.0%; e.g. ['S8 RAD PH Conv', 'Sec. 202', 'S8 Loan Mgmt']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['02', '01', '05']	moderate	retire the regex catalog; tag with the platform tagger
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	COUNTY_NAME	C2 name tag holds something else	places; org words 0.5%, people 0.0%; e.g. ['Anchorage', 'Jefferson', 'Mobile']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	COUNTY_FIPS	C2 tag fails its format	FIPS: 0.0% of 2000 sampled values fit; e.g. ['020', '073', '097']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	COUNTY_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['020', '073', '097']	moderate	retire the regex catalog; tag with the platform tagger
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	CURRENT_COUNTY_NAME	C2 name tag holds something else	places; org words 0.5%, people 0.0%; e.g. ['Anchorage', 'Jefferson', 'Mobile']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	CURRENT_COUNTY_FIPS	C2 tag fails its format	FIPS: 0.0% of 2000 sampled values fit; e.g. ['020', '073', '097']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	CURRENT_COUNTY_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['020', '073', '097']	moderate	retire the regex catalog; tag with the platform tagger
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	CURRENT_COUNTY_SUBDIVISION_NAME	C2 name tag holds something else	places; org words 14.1%, people 0.0%; e.g. ['Anchorage', 'Birmingham', 'Mobile']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	PLACE_NAME	C2 name tag holds something else	places; org words 83.3%, people 0.0%; e.g. ['Anchorage municipality', 'Birmingham city (part)', 'Mobile city (part)']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	MSA_NAME	C2 name tag holds something else	places; org words 8.7%, people 0.0%; e.g. ['Anchorage, AK MSA', 'Birmingham, AL MSA', 'Mobile, AL MSA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	CBSA_NAME	C2 name tag holds something else	places; org words 8.5%, people 0.0%; e.g. ['Anchorage, AK Metropolitan Statistical Area', 'Birmingham, AL Metropolitan Statistical Area', 'Mobile, AL Metropolitan Statistical Area']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	NECTA_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA', 'Hartford-East Hartford-Middletown, CT Metropolitan NECTA', 'New Haven, CT Metropolitan NECTA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	ZIP_CLASS	C2 tag fails its format	ZIP: 0.0% of 15 sampled values fit; e.g. ['P']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HOUSING.HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	ZIP_CLASS	C2 catalog regex tag wrong	ZIP: 0.0% fit; e.g. ['P']	moderate	retire the regex catalog; tag with the platform tagger
HOUSING.HOUSING__FED_MAPPING_INEQUALITY	FIPS	C2 tag fails its format	FIPS: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS	BORROWER_ID	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['000123850', '000325444', '000346622']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
IMMIGRATION.IMMIGRATION__FED_DHS_OHSS	SOURCE_FILE_NAME	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['24-0405_ohss_immigration-enforcement-and-legal-processes-tables-december-2023.xlsx', '24-0308_ohss_immigration-enforcement-and-legal-processes-tables-november-2023_2.xlsx']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
IMMIGRATION.IMMIGRATION__FED_DHS_YEARBOOK	COUNTRY_OF_BIRTH	C2 tag fails its format	COUNTRY: 0 of 27 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
IMMIGRATION.IMMIGRATION__FED_DHS_YEARBOOK	COUNTRY_OF_LAST_RESIDENCE	C2 tag fails its format	COUNTRY: 0 of 27 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
IMMIGRATION.IMMIGRATION__FED_DHS_YEARBOOK	STATE	C2 tag fails its format	STATE: 0 of 27 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	CHANGE_EMPLOYER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['0', '1', '2']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	EMPLOYER_CITY	C2 name tag holds something else	places; org words 2.2%, people 0.0%; e.g. ['SYOSSET', 'IRVINE', 'SANTA CLARA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	EMPLOYER_STATE	C2 name tag holds something else	places; org words 5.3%, people 0.0%; e.g. ['NY', 'CA', 'MA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	EMPLOYER_POSTAL_CODE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['11791', '92618', '95054']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	EMPLOYER_PROVINCE	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['NY', 'MONTGOMERY', 'TEXAS']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	EMPLOYER_PHONE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['6177498009', '9499551380', '6262387993']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	AGENT_REPRESENTING_EMPLOYER	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['Y', 'N']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	STATE_OF_HIGHEST_COURT	C2 tag fails its format	STATE: 0.0% of 1599 sampled values fit; e.g. ['STATE SUPREME COURT', 'CALIFORNIA SUPREME COURT', 'NEW YORK SUPREME COURT']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	NAME_OF_HIGHEST_STATE_COURT	C2 name tag holds something else	places; org words 2.8%, people 0.0%; e.g. ['CALIFORNIA', 'NEW YORK', 'MARYLAND']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	WORKSITE_STATE_1	C2 tag fails its format	STATE: 12.1% of 2000 sampled values fit; e.g. ['NEW YORK', 'CALIFORNIA', 'MASSACHUSETTS']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	WORKSITE_STATE_2	C2 tag fails its format	STATE: 9.2% of 675 sampled values fit; e.g. ['NEW YORK', 'VIRGINIA', 'CALIFORNIA']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	WORKSITE_STATE_3	C2 tag fails its format	STATE: 9.1% of 364 sampled values fit; e.g. ['CALIFORNIA', 'VIRGINIA', 'CT']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	WORKSITE_STATE_4	C2 tag fails its format	STATE: 0.0% of 179 sampled values fit; e.g. ['MASSACHUSETTS', 'OHIO', 'NORTH CAROLINA']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	WORKSITE_STATE_5	C2 tag fails its format	STATE: 0.0% of 109 sampled values fit; e.g. ['OHIO', 'NORTH CAROLINA', 'MICHIGAN']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
IMMIGRATION.IMMIGRATION__FED_DOL_OFLC	WORKSITE_STATE_6	C2 tag fails its format	STATE: 0.0% of 66 sampled values fit; e.g. ['NORTH CAROLINA', 'MICHIGAN', 'NEW YORK']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
